nodes	percent_of_prediction	percent_of_DWPC	metapath
Biotin—PCCB—Disease—AKT1—uterine cancer	4.85e-05	0.000224	CbGpPWpGaD
Biotin—PC—Disease—HRAS—uterine cancer	4.83e-05	0.000223	CbGpPWpGaD
Biotin—SLC5A6—Metabolism—PIK3CA—uterine cancer	4.74e-05	0.000219	CbGpPWpGaD
Biotin—ACACA—Metabolism—PIK3CA—uterine cancer	4.74e-05	0.000219	CbGpPWpGaD
Biotin—SLC5A6—Disease—AKT1—uterine cancer	4.62e-05	0.000213	CbGpPWpGaD
Biotin—ACACA—Disease—AKT1—uterine cancer	4.62e-05	0.000213	CbGpPWpGaD
Biotin—ACACB—Disease—PIK3CA—uterine cancer	4.61e-05	0.000213	CbGpPWpGaD
Biotin—ABL1—Immune System—FGFR2—uterine cancer	4.55e-05	0.00021	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—CDKN1B—uterine cancer	4.54e-05	0.00021	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—EP300—uterine cancer	4.52e-05	0.000209	CbGpPWpGaD
Biotin—ABL1—Hemostasis—EP300—uterine cancer	4.43e-05	0.000205	CbGpPWpGaD
Biotin—PC—Metabolism—PIK3CA—uterine cancer	4.37e-05	0.000202	CbGpPWpGaD
Biotin—ABL1—Axon guidance—HRAS—uterine cancer	4.33e-05	0.0002	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—CTNNB1—uterine cancer	4.29e-05	0.000198	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—VEGFA—uterine cancer	4.28e-05	0.000198	CbGpPWpGaD
Biotin—ACACB—Disease—HRAS—uterine cancer	4.27e-05	0.000197	CbGpPWpGaD
Biotin—PC—Disease—AKT1—uterine cancer	4.27e-05	0.000197	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—NRAS—uterine cancer	4.23e-05	0.000195	CbGpPWpGaD
Biotin—ABL1—Hemostasis—VEGFA—uterine cancer	4.2e-05	0.000194	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—PTEN—uterine cancer	4.18e-05	0.000193	CbGpPWpGaD
Biotin—ABL1—Hemostasis—NRAS—uterine cancer	4.15e-05	0.000191	CbGpPWpGaD
Biotin—PCCB—Metabolism—AKT1—uterine cancer	4.06e-05	0.000187	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—EP300—uterine cancer	3.99e-05	0.000184	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—STK11—uterine cancer	3.95e-05	0.000182	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—CYP19A1—uterine cancer	3.95e-05	0.000182	CbGpPWpGaD
Biotin—SLC5A6—Metabolism—AKT1—uterine cancer	3.87e-05	0.000179	CbGpPWpGaD
Biotin—ACACA—Metabolism—AKT1—uterine cancer	3.87e-05	0.000179	CbGpPWpGaD
Biotin—ACACB—Metabolism—PIK3CA—uterine cancer	3.86e-05	0.000178	CbGpPWpGaD
Biotin—ACACB—Disease—AKT1—uterine cancer	3.77e-05	0.000174	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—NRAS—uterine cancer	3.73e-05	0.000172	CbGpPWpGaD
Biotin—CYP1B1—Metabolism of lipids and lipoproteins—PTEN—uterine cancer	3.71e-05	0.000171	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—KRAS—uterine cancer	3.64e-05	0.000168	CbGpPWpGaD
Biotin—PC—Metabolism—AKT1—uterine cancer	3.57e-05	0.000165	CbGpPWpGaD
Biotin—ABL1—Hemostasis—KRAS—uterine cancer	3.57e-05	0.000165	CbGpPWpGaD
Biotin—CYP1B1—Metabolism of lipids and lipoproteins—EP300—uterine cancer	3.54e-05	0.000163	CbGpPWpGaD
Biotin—ABL1—Immune System—CDH1—uterine cancer	3.39e-05	0.000156	CbGpPWpGaD
Biotin—ABL1—Hemostasis—PIK3CA—uterine cancer	3.28e-05	0.000151	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—KRAS—uterine cancer	3.21e-05	0.000148	CbGpPWpGaD
Biotin—ABL1—Hemostasis—TP53—uterine cancer	3.17e-05	0.000146	CbGpPWpGaD
Biotin—ACACB—Metabolism—AKT1—uterine cancer	3.16e-05	0.000146	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—HRAS—uterine cancer	3.09e-05	0.000143	CbGpPWpGaD
Biotin—ABL1—Hemostasis—HRAS—uterine cancer	3.03e-05	0.00014	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—MTHFR—uterine cancer	2.97e-05	0.000137	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—PIK3CA—uterine cancer	2.95e-05	0.000136	CbGpPWpGaD
Biotin—ABL1—Immune System—ERBB2—uterine cancer	2.86e-05	0.000132	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—HRAS—uterine cancer	2.73e-05	0.000126	CbGpPWpGaD
Biotin—ABL1—Developmental Biology—AKT1—uterine cancer	2.73e-05	0.000126	CbGpPWpGaD
Biotin—ABL1—Hemostasis—AKT1—uterine cancer	2.68e-05	0.000124	CbGpPWpGaD
Biotin—ABL1—Immune System—CDKN1B—uterine cancer	2.65e-05	0.000122	CbGpPWpGaD
Biotin—CYP1B1—Metabolism of lipids and lipoproteins—PIK3CA—uterine cancer	2.62e-05	0.000121	CbGpPWpGaD
Biotin—ABL1—Immune System—CTNNB1—uterine cancer	2.5e-05	0.000115	CbGpPWpGaD
Biotin—ABL1—Immune System—PTEN—uterine cancer	2.44e-05	0.000112	CbGpPWpGaD
Biotin—ABL1—Innate Immune System—AKT1—uterine cancer	2.41e-05	0.000111	CbGpPWpGaD
Biotin—ABL1—Immune System—EP300—uterine cancer	2.32e-05	0.000107	CbGpPWpGaD
Biotin—ABL1—Immune System—NRAS—uterine cancer	2.17e-05	0.0001	CbGpPWpGaD
Biotin—ABL1—Immune System—KRAS—uterine cancer	1.87e-05	8.64e-05	CbGpPWpGaD
Biotin—ABL1—Immune System—PIK3CA—uterine cancer	1.72e-05	7.94e-05	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—PTEN—uterine cancer	1.65e-05	7.63e-05	CbGpPWpGaD
Biotin—ABL1—Immune System—HRAS—uterine cancer	1.59e-05	7.34e-05	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—EP300—uterine cancer	1.58e-05	7.27e-05	CbGpPWpGaD
Biotin—ABL1—Immune System—AKT1—uterine cancer	1.4e-05	6.48e-05	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—PIK3CA—uterine cancer	1.17e-05	5.38e-05	CbGpPWpGaD
Biotin—CYP1B1—Metabolism—AKT1—uterine cancer	9.52e-06	4.4e-05	CbGpPWpGaD
