nodes	percent_of_prediction	percent_of_DWPC	metapath
L-Ornithine—GATM—Metabolism—GOT2—alcohol dependence	0.000658	0.00176	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—CYP2E1—alcohol dependence	0.000653	0.00175	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—CYP2E1—alcohol dependence	0.000619	0.00166	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—CYP2E1—alcohol dependence	0.000619	0.00166	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—CYP2E1—alcohol dependence	0.000619	0.00166	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—MAOA—alcohol dependence	0.000614	0.00164	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—GGT1—alcohol dependence	0.000599	0.0016	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—GOT1—alcohol dependence	0.000599	0.0016	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—GOT1—alcohol dependence	0.000568	0.00152	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—GGT1—alcohol dependence	0.000568	0.00152	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—GOT1—alcohol dependence	0.000568	0.00152	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—GGT1—alcohol dependence	0.000568	0.00152	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—GOT1—alcohol dependence	0.000568	0.00152	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—GGT1—alcohol dependence	0.000568	0.00152	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—MAOA—alcohol dependence	0.000537	0.00144	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—MAOA—alcohol dependence	0.000509	0.00136	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—MAOA—alcohol dependence	0.000509	0.00136	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—MAOA—alcohol dependence	0.000509	0.00136	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—POMC—alcohol dependence	0.000491	0.00131	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—POMC—alcohol dependence	0.000491	0.00131	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—POMC—alcohol dependence	0.000491	0.00131	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—POMC—alcohol dependence	0.000491	0.00131	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—POMC—alcohol dependence	0.000437	0.00117	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—POMC—alcohol dependence	0.0004	0.00107	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—POMC—alcohol dependence	0.00035	0.000935	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—POMC—alcohol dependence	0.000331	0.000887	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—POMC—alcohol dependence	0.000331	0.000887	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—POMC—alcohol dependence	0.000331	0.000887	CbGpPWpGaD
L-Ornithine—SLC25A15—Metabolism—EP300—alcohol dependence	0.000326	0.000871	CbGpPWpGaD
L-Ornithine—OAZ2—Metabolism—EP300—alcohol dependence	0.000326	0.000871	CbGpPWpGaD
L-Ornithine—SLC25A2—Metabolism—EP300—alcohol dependence	0.000326	0.000871	CbGpPWpGaD
L-Ornithine—OAZ3—Metabolism—EP300—alcohol dependence	0.000326	0.000871	CbGpPWpGaD
L-Ornithine—OAT—Metabolism—EP300—alcohol dependence	0.00029	0.000776	CbGpPWpGaD
L-Ornithine—OAZ1—Metabolism—EP300—alcohol dependence	0.000265	0.00071	CbGpPWpGaD
L-Ornithine—ARG1—Metabolism—EP300—alcohol dependence	0.000232	0.00062	CbGpPWpGaD
L-Ornithine—ARG2—Metabolism—EP300—alcohol dependence	0.00022	0.000588	CbGpPWpGaD
L-Ornithine—OTC—Metabolism—EP300—alcohol dependence	0.00022	0.000588	CbGpPWpGaD
L-Ornithine—GATM—Metabolism—EP300—alcohol dependence	0.00022	0.000588	CbGpPWpGaD
